id,doi,title,publication_year,type,topic_id,topic_name,abstract_text,cited_by_count,fwci,institutions_count,countries_count
https://openalex.org/W4393277008,https://doi.org/10.1021/jacs.3c11836,Initial Primer Synthesis of a DNA Primase Monitored by Real-Time NMR Spectroscopy,2024,article,T11809,Advanced NMR Techniques and Applications,H-detected experiments at fast magic-angle spinning frequencies (100 kHz). A significant number of spectral changes cluster in the HBD pointing to the importance of the HBD for positioning the nucleotides and the dinucleotide.,0,0.0,9,2
https://openalex.org/W2090994619,https://doi.org/10.1109/ulis.2013.6523527,Pure Ge quantum well with high hole mobility,2013,article,T10022,Semiconductor Quantum Structures and Devices,"We present magneto-transport properties of the two dimensional hole gas (2DHG) in fully strained Ge quantum wells grown on S <inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">i0.2</inf> Ge <inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">0.8</inf> /Si (100) substrates. Comparison is made between heterostructures that are modulation doped in both normal and inverted configurations. Using Shubnikov de Haas oscillations at temperatures down to 90 mK (inverted structure) and to 1.5K (normal structure), an extremely high hole mobility (0.51–1.34) × 10 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">6</sup> cm <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup> /Vs has been observed, along with the lowest value of effective mass (0.063–0.070) m <inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">0</inf> to date. The 2DHG is confirmed to be in a pure Ge channel, with low background impurity scattering that improves the 2DHG transport.",0,0.0,12,4
https://openalex.org/W2741749410,,Dissipative effects on a scheme of generation of a W state in an array of coupled Josephson junctions,2011,article,T10020,Quantum Information and Cryptography,"The dynamics of an open quantum system, consisting of three superconducting qubits interacting with independent reservoirs, is investigated to elucidate the effects of the environment on a unitary generation scheme of W states (Migliore R et al 2006 Phys. Rev. B 74 104503). To this end a microscopic master equation is constructed and its exact resolution predicts the generation of a Werner-like state instead of the W state. A comparison between our model and a more intuitive phenomenological model is also considered, in order to find the limits of the latter approach in the case of structured reservoirs.",0,0.0,6,0
https://openalex.org/W2321058276,https://doi.org/10.1103/physreva.86.033809,Erasing quantum distinguishability via single-mode filtering,2012,article,T10020,Quantum Information and Cryptography,"Erasing quantum-mechanical distinguishability is of fundamental interest and also of practical importance, particularly in subject areas related to quantum information processing. We demonstrate a method applicable to optical systems in which single-mode filtering is used with only linear optical instruments to achieve quantum indistinguishability. Through ``heralded'' Hong-Ou-Mandel interference experiments we measure and quantify the improvement of indistinguishability between single photons generated via spontaneous four-wave mixing in optical fibers. The experimental results are in excellent agreement with predictions of a quantum-multimode theory we develop for such systems, without the need for any fitting parameter.",9,2.6755,5,1
https://openalex.org/W2949284821,https://doi.org/10.1126/science.364.6446.1147-g,Enhancing nanodiamond sensors,2019,article,T10478,Diamond and Carbon-based Materials Research,"Nanomaterials
The fluorescence and spin properties of nitrogen vacancy (NV) centers in nanodiamonds could make them useful sensors when linked to biomolecules. Although nanodiamonds with diameters of about 5 nanometers can be extracted from the products of closed-chamber detonation of explosives like trinitrotoluene, the number of spin-triplet (negatively charged) NV centers can be too low to ensure that each nanodiamond is active. Terada et al. show that irradiation of detonation nanodiamonds with a sufficient fluence of 2 mega–electron volt electrons can increase the number of negatively charged NV centers by a factor of 4. The irradiation process aggregated the nanodiamonds, but they were redispersed with boiling oxidizing acid.

ACS Nano 10.1021/acsnano.8b09383 (2019).",0,0.0,1,0
https://openalex.org/W1989568766,https://doi.org/10.1063/1.2838453,Step bunch assisted two dimensional ordering of In0.19Ga0.81As∕GaAs quantum dots on vicinal GaAs(001) surfaces,2008,article,T10022,Semiconductor Quantum Structures and Devices,"We have investigated the self-organized, step bunch assisted formation of In0.19Ga0.81As∕GaAs quantum dots in vertical superlattices consisting of one, four, eight, and ten periods. Samples were grown by molecular beam epitaxy on vicinal 2°A and 2°B GaAs(001) substrates. Those with miscut along the [11¯0] (2°B) exclusively show step bunches of an aspect ratio larger than 10 but without the formation of quantum dots. This highly linear pattern is improved during subsequent periods as proved by high resolution x-ray diffraction and grazing incidence diffraction. On the other hand, a miscut along the [110] (2°A) initially causes a crosslike pattern of step bunches, which finally becomes a two-dimensional arrangement of individual quantum dots.",7,0.465,6,2
https://openalex.org/W2151898101,https://doi.org/10.1016/j.jmr.2011.08.043,Residual dipolar coupling between quadrupolar nuclei under magic-angle spinning and double-rotation conditions,2011,article,T11809,Advanced NMR Techniques and Applications,,26,2.09,2,1
https://openalex.org/W2019090912,https://doi.org/10.1088/0256-307x/24/9/008,An Efficient Scheme for Implementing an <i>N</i> -Qubit Toffoli Gate with Superconducting Quantum-Interference Devices in Cavity QED,2007,article,T10020,Quantum Information and Cryptography,"An alternative approach is proposed to realize an n-qubit Toffoli gate with superconducting quantum-interference devices (SQUIDs) in cavity quantum electrodynamics (QED). In the proposal, we represent two logical gates of a qubit with the two lowest levels of a SQUID while a higher-energy intermediate level of each SQUID is utilized for the gate manipulation. During the operating process, because the cavity field is always in vacuum state, the requirement on the cavity is greatly loosened and there is no transfer of quantum information between the cavity and SQUIDs.",3,0.9673,5,1
https://openalex.org/W1982810590,https://doi.org/10.1063/1.1897850,Long-wavelength light emission and lasing from InAs∕GaAs quantum dots covered by a GaAsSb strain-reducing layer,2005,article,T10022,Semiconductor Quantum Structures and Devices,"The effects of a thin GaAsSb strain-reducing layer on the optical properties of InAs∕GaAs quantum dots (QDs) are investigated. With increasing Sb composition, the room-temperature emission wavelength of the InAs QDs increases to ∼1.43μm. For Sb compositions above 14%, the system becomes Type II, with a decrease of the photoluminescence (PL) efficiency. At a composition of 14%, the room-temperature PL efficiency is maximized, and is also significantly enhanced when compared to that of conventional InGaAs-capped InAs QDs grown under the same conditions. Room-temperature ground-state lasing at 1.292μm is demonstrated for an InAs∕GaAsSb∕GaAs structure.",127,4.935,9,1
https://openalex.org/W2020938240,https://doi.org/10.1063/1.3505358,Ultrafast electrical charging and discharging of a single InGaAs quantum dot,2010,article,T10022,Semiconductor Quantum Structures and Devices,"We report on ultrafast control of the charge state of a single InGaAs quantum dot in a charge-tunable p-i-n diode structure. Focused ion beam etching is employed to decrease the capacitance of the device to enable radio frequency operation. A time-resolved photoluminescence technique is demonstrated that allows monitoring the charge state with a time-resolution which is limited only by the radiative lifetime of the charged and neutral exciton, respectively. Experimental data show that the charge state can be manipulated on time scales shorter than the radiative lifetime of approximately 1.4 ns.",5,0.4318,5,1
