doi,publication_year,title,abstract
https://doi.org/10.1038/nnano.2014.149,2014,Bright light-emitting diodes based on organometal halide perovskite,
https://doi.org/10.1103/physrevb.107.214419,2023,Quantum anomalous Hall effect in an antiferromagnetic monolayer of MoO,"The quantum anomalous Hall (QAH) effect is rarely predicted in antiferromagnetic (AFM) materials. Here, by first-principles calculations, we propose that the monolayer of MoO is AFM and can be tuned to be a QAH insulator with a band gap of 50 meV. The MoO monolayer is a tetragonal lattice and we have checked its stability by the phonon spectrum and molecular dynamical simulation. It has a collinear AFM order with magnetic moments larger than $2\phantom{\rule{0.16em}{0ex}}{\ensuremath{\mu}}_{B}$ on each Mo atom. In the absence of strain, it is an AFM metal with a direct gap if spin-orbital coupling is considered. Tensile strain results in a metal-insulator phase transition, but it is still topologically trivial protected by an effective time-reversal symmetry. Shear strain breaks this symmetry and leads to the expected nontrivial electronic bands with Chern number $C=\ensuremath{-}1$. In addition, its N\'eel temperature could be larger than room temperature, providing another platform for the application of AFM materials in spintronic devices."
https://doi.org/10.1039/c5cs00106d,2015,Photocurrent generation with two-dimensional van der Waals semiconductors,"Two-dimensional (2D) materials have attracted a great deal of interest in recent years. This family of materials allows for the realization of versatile electronic devices and holds promise for next-generation (opto)electronics. Their electronic properties strongly depend on the number of layers, making them interesting from a fundamental standpoint. For electronic applications, semiconducting 2D materials benefit from sizable mobilities and large on/off ratios, due to the large modulation achievable via the gate field-effect. Moreover, being mechanically strong and flexible, these materials can withstand large strain (>10%) before rupture, making them interesting for strain engineering and flexible devices. Even in their single layer form, semiconducting 2D materials have demonstrated efficient light absorption, enabling large responsivity in photodetectors. Therefore, semiconducting layered 2D materials are strong candidates for optoelectronic applications, especially for photodetection. Here, we review the state-of-the-art in photodetectors based on semiconducting 2D materials, focusing on the transition metal dichalcogenides, novel van der Waals materials, black phosphorus, and heterostructures."
https://doi.org/10.1038/nmat1967,2007,Detection of individual gas molecules adsorbed on graphene,
https://doi.org/10.1038/s41565-018-0121-3,2018,Electrical control of 2D magnetism in bilayer CrI3,
https://doi.org/10.1088/1361-648x/aa8f79,2017,Advanced capabilities for materials modelling with Quantum ESPRESSO,"Quantum EXPRESSO is an integrated suite of open-source computer codes for quantum simulations of materials using state-of-the-art electronic-structure techniques, based on density-functional theory, density-functional perturbation theory, and many-body perturbation theory, within the plane-wave pseudopotential and projector-augmented-wave approaches. Quantum EXPRESSO owes its popularity to the wide variety of properties and processes it allows to simulate, to its performance on an increasingly broad array of hardware architectures, and to a community of researchers that rely on its capabilities as a core open-source development platform to implement their ideas. In this paper we describe recent extensions and improvements, covering new methodologies and property calculators, improved parallelization, code modularization, and extended interoperability both within the distribution and with external software."
https://doi.org/10.1016/j.joule.2022.04.024,2022,Triple-junction solar cells with 39.5% terrestrial and 34.2% space efficiency enabled by thick quantum well superlattices,
https://doi.org/10.1038/s41586-018-0375-9,2018,Engineering of robust topological quantum phases in graphene nanoribbons,
https://doi.org/10.1038/nature10067,2011,A graphene-based broadband optical modulator,
https://doi.org/10.1038/nature04165,2004,Colloidal nanocrystal synthesis and the organic–inorganic interface,
https://doi.org/10.1038/nmat3064,2011,Thermal properties of graphene and nanostructured carbon materials,
https://doi.org/10.1002/anie.202217045,2022,Planar Chiral Multiple Resonance Thermally Activated Delayed Fluorescence Materials for Efficient Circularly Polarized Electroluminescence,level. These results demonstrate the incorporation of planar chirality into MR-TADF emitter is a reliable strategy for constructing of efficient CP-OLEDs.
https://doi.org/10.1038/nature22391,2017,Layer-dependent ferromagnetism in a van der Waals crystal down to the monolayer limit,
https://doi.org/10.1038/nnano.2013.46,2013,Raman spectroscopy as a versatile tool for studying the properties of graphene,
https://doi.org/10.1038/nmat4169,2014,Highly confined low-loss plasmons in graphene–boron nitride heterostructures,
