id,doi,title,publication_year,type,topic_id,topic_name,abstract_text,cited_by_count,fwci,institutions_count,countries_count
https://openalex.org/W2374394470,,Dynamics of photon emission from a quantum dot in a microcavity,2009,article,T10022,Semiconductor Quantum Structures and Devices,"The master equation for the microcavity-quantum dot coupled system is established based on the quantum regression theorem,and the time-dependent evolution of the density matrix of the two-level system for a quantum dot in a microcavity is studied under pumping by laser pulses.The characteristics such as the number of emitted photons and the second-order corelation function are derived from the density matrixes.Parameters of the microcavity and the pumping conditions are optimized for single-photon sources.The relativity between the microcavity decay rate and coupling coefficient is critical for single photon emission.",0,0.0,1,1
https://openalex.org/W2981662896,https://doi.org/10.1016/j.jclepro.2019.118966,Eco-friendly and stable silver bismuth disulphide quantum dot solar cells via methyl acetate purification and modified ligand exchange,2019,article,T10321,Quantum Dots Synthesis And Properties,,41,1.8246,7,1
https://openalex.org/W2942539504,https://doi.org/10.1109/iscas.2019.8702477,Semiconductor Spin Qubits — A Scalable Platform for Quantum Computing?,2019,article,T10382,Quantum and electron transport phenomena,"For the realization of a quantum computer, a good qubit design as the basic building block is a nontrivial starting point. To fully leverage the potential of quantum computing, quantum processors will likely have to incorporate billions of high-quality qubits. Several approaches are being pursued and exhibit different strength and weaknesses. The device concepts and fabrication procedures for semiconductor based qubits are very similar to those used in the semiconductor industry. Using the spin-degree of freedom, their coherence properties and the quality of single-qubit operations have now reached the required level and are on par with competing approaches. Two-qubit operations will likely follow suit in the near future. With these basic requirements being met, it is now time to think if and how increasingly large multi-qubit systems and eventually functional quantum processor can be realized. This quest raises many pertinent questions, some of which equally apply to other qubit platforms. How reproducibly can the different types of semiconductor qubits be produced? How can their operating point be adjusted efficiently and in an automated way? How can they be connected to form meaningful multi-qubit circuits? How severe are multi-qubit control issues such as crosstalk and frequency crowding, and how can they be avoided? What control system architectures are most suitable for operating large numbers of qubits? What is the limit of cryogenic electronics regarding power consumption and integration density? This paper gives a (partial) overview of the state of the art in the field and discusses future challenges associated with the realization of large-scale quantum processors, many of which will greatly benefit from input from engineering science. The guiding vision is that of a highly integrated quantum processor with an ultra-low power cryogenic control system.",29,2.9817,2,1
https://openalex.org/W2986316063,https://doi.org/10.1063/1.5124139,High-order harmonic generation using quasi-phase matching and two-color pump in the plasmas containing molecular and alloyed metal sulfide quantum dots,2019,article,T10566,Laser-Matter Interactions and Applications,"As high-order harmonic emitters, quantum dots are produced through laser-induced plasmas. Subsequently, we generate high-order harmonics with 800-nm and 30-fs pulses from laser-produced plasmas containing quantum dots of different metal sulfides (Ag2S, CdS, and Cd0.5Zn0.5S). The high-order harmonic generation is analyzed using different approaches, including two-color (800 nm + 400 nm) pump, application of alloyed quantum dots, and quasiphase matching of interacting waves. We discuss the self-phase modulation induced splitting of harmonics, the difference in the application of thick and thin crystals for second harmonic (400 nm) emission during two-color pumping of the quantum dot plasma, the spatial modulation of the quantum dot plasma for quasiphase matching, and the comparison of harmonic yields from monomer and quantum dot plasmas. This study allows us to determine the mechanisms of coherent extreme ultraviolet radiation generation using a few nanometer-sized emitters as well as optimal methods for further enhancing the high-order harmonic generation efficiency.",25,2.2535,10,5
https://openalex.org/W2187797979,,Simulation ofInGaN Violet andUltraviolet Multiple-Quantum-Well LaserDiodes,2006,article,T10099,GaN-based semiconductor devices and materials,,0,0.0,2,0
https://openalex.org/W4229084011,https://doi.org/10.1016/j.rinp.2022.105575,Simulation of silicon quantum dots with diamond-channel by simplified ME model,2022,article,T10558,Advancements in Semiconductor Devices and Circuit Design,"Developing novel silicon quantum dots (Si-QDs) on conventional CMOS process is one of the most important technologies in Si quantum computing to realize multi-bit integration with a large scale. In this paper, an analysis model based on master equation and realized by Python code is established to predict and optimize the performance of fabricated diamond channel Si-QDs for potential circuit applications. The model can fast describe the I-V characteristics of devices both in qualitative and semi quantitative method. The inherent tunneling process of Si-QDs can be well simulated by introducing additional parameters and the contribution of neighboring states can be analyzed by setting global parameters. In addition, the calculation speed and accuracy can be readily balanced by modifying the setting parameters. The simulation results of the model are in good agreement with the experimental results at low temperature, which lays a foundation for the performance prediction, structure and process optimization of the Si-QDs for a large scale circuit applications.",4,0.3694,4,1
https://openalex.org/W4385656618,https://doi.org/10.1039/d3ma00340j,Advances in the ratiometric combination of quantum dots for their use in sensing applications,2023,article,T11342,Carbon and Quantum Dots Applications,"Quantum dots are novel nanomaterials due to their nanoscale size and diverse characteristics. They serve as low-cost visual sensors, widely studied for sensing applications, including ratiometric combinations, to enhance the limit of detection.",12,1.1203,3,1
https://openalex.org/W1517954771,,24pYH-6 Dependence of Hybridization Gaps of Bi/Ag-√ ×√ / Ag Quantum-Well Films on the Film Thickness and Quantum Number,2008,article,T10037,Physics of Superconductivity and Magnetism,,0,0.0,6,0
https://openalex.org/W1606923443,https://doi.org/10.1126/science.1232296,Emergence and Frustration of Magnetism with Variable-Range Interactions in a Quantum Simulator,2013,article,T11682,Advanced Condensed Matter Physics,"Frustration, or the competition between interacting components of a network, is often responsible for the emergent complexity of many-body systems. For instance, frustrated magnetism is a hallmark of poorly understood systems such as quantum spin liquids, spin glasses, and spin ices, whose ground states can be massively degenerate and carry high degrees of quantum entanglement. Here, we engineer frustrated antiferromagnetic interactions between spins stored in a crystal of up to 16 trapped (171)Yb(+) atoms. We control the amount of frustration by continuously tuning the range of interaction and directly measure spin correlation functions and their coherent dynamics. This prototypical quantum simulation points the way toward a new probe of frustrated quantum magnetism and perhaps the design of new quantum materials.",448,38.7807,10,1
https://openalex.org/W1991987408,https://doi.org/10.1109/nano.2010.5698033,Counter designs in quantum-dot cellular automata,2010,article,T13182,Quantum-Dot Cellular Automata,"In this paper, we present a new method for the design of an n-bit synchronous binary up counter in quantum-dot cellular automata (QCA). This method is based on the JK flip-flop which almost always produces the simplest combinational logic in traditional sequential circuits. We implement a new QCA architecture for the JK flip-flop. Compared to the existing QCA JK flip-flop, the majority gate count, cell count, clock cycle count, and area of our QCA JK flip-flop are reduced by 57.1%, 88.1%, 55.6%, and 92.0%, respectively. Based on our QCA JK flip-flop, a method of extending state cells is proposed to design the QCA layout of the n-bit counter, such that all the clock cycle counts between any two state cells become 1. This feature can ensure that one count just takes one clock cycle, in existing methods, however, one count needs to take n−1 clock cycles. Comparisons indicate that, by applying our method, the hardware requirements (i.e., complexity and area) for QCA n-bit counter can be greatly reduced.",18,1.38829241,3,1
