id,doi,title,publication_year,type,topic_id,topic_name,abstract_text,cited_by_count,fwci,institutions_count,countries_count
https://openalex.org/W3014249300,https://doi.org/10.1088/1361-648x/ab8521,Anomalous Hall effect in Cu doped Bi <sub>2</sub> Te <sub>3</sub> topological insulator,2020,article,T10657,Topological Materials and Phenomena,Abstract The angle resolved photo-emission spectroscopy (ARPES) study and magneto-transport properties of Bi 2 Cu x Te 3− x have been investigated. ARPES study indicates the clear existence of surface states in the as-prepared samples. The estimated bandgap from ARPES is found to be ∼5 meV and 16 meV respectively for x = 0.03 and x = 0.15 samples. Presence of larger Cu concentration ( x = 0.15) introduces magnetic ordering. Observed non-linearity in the Hall data is due to the existence of anomalous Hall effect which can be attributed to the 2D transport. The observed magneto-transport features might be related to the surface carriers which is confirmed by ARPES study.,7,0.6953,13,2
https://openalex.org/W4401351984,https://doi.org/10.1016/j.physe.2024.116062,"The magnetic properties, flat and Dirac bands of two-dimensional room-temperature ferromagnetic Kagome material Mn3Sn3Se2",2024,article,T10657,Topological Materials and Phenomena,,0,0.0,7,1
https://openalex.org/W2571818734,,Natural Josephson Junction Array in the Crystals of High-T_c Superconductors,2006,article,T10037,Physics of Superconductivity and Magnetism,,0,0.0,2,0
https://openalex.org/W2333553735,https://doi.org/10.1021/jz4023656,Interface Engineering in Inorganic-Absorber Nanostructured Solar Cells,2014,article,T10321,Quantum Dots Synthesis And Properties,"Nanostructured solar cells have the potential to provide a low-cost alternative to more traditional thin film solar cell technologies. Of particular interest are nanostructured solar cells with inorganic semiconductor absorbers, due to their favorable absorption properties. Such devices include quantum-dot-sensitized solar cells (QDSSCs), extremely thin absorber solar cells (ETASCs), and colloidal quantum dot solar cells (CQDSCs). However, these device architectures suffer from high rates of internal recombination and other problems associated with their extensive internal surface areas. Interfacial surface treatments have proven to be a highly effective means to improve the electronic properties of these devices, leading to overall gains in efficiencies. In this Perspective, we focus on three types of interfacial modification: band alignment by molecular dipole layers, improved CQD film mobilities by ligand exchange, and reduced recombination by interfacial inorganic layers. Select examples in each of these categories are highlighted to provide a detailed look at the underlying mechanisms. We believe that surface modification studies in these devices-QDSSCs, ETASCs, and CQDSCs-are of interest not only to these fields, but also to the broader photovoltaics community.",49,3.754,3,1
https://openalex.org/W217975016,,Using 2D Fourier-transform spectroscopy to separate homogeneous and inhomogeneous line widths of heavy- and light-hole excitons in weakly disordered semiconductor quantum wells,2011,article,T10022,Semiconductor Quantum Structures and Devices,,0,0.0,5,0
https://openalex.org/W1533776819,https://doi.org/10.12693/aphyspola.105.529,Quantum Dot Properties in a Strong Magnetic Field,2004,article,T10382,Quantum and electron transport phenomena,"P ro ceedi n gs of t h e XXX I I I I nt er n at io na l Sch ool of Sem i cond uc t in g Co m p ou n ds, Ja szo wi ec 200 4 Q u an tu m D ot P ro p ert ies in a Stron g Magn eti c Fie l d A .M at ul i s an d E. A nisimo vas Semi cond uctor Ph ysics Insti tute , G oç stauto 11, 01108 Vi lni us, Li thua ni a W e pre sen t a quasi classical appr oach to few -electron quantu m dots in stron g magnetic Ùelds based on the notion of a collecti vel y rotating Wigner molecule .A quasicl assical many-particle w ave function is derived and illustrated by its applicati on to a tw o-electron quantum dot.I n particul ar , w e calculate the density-current correlation function (conditio nal current ) and show that the Wigner crystal in high magnetic Ùelds may be visual ized as an ordered system of current vortices.",1,0.0,2,1
https://openalex.org/W4295708939,https://doi.org/10.2139/ssrn.4217268,Anisotropic Metamagnetic Transition and Intrinsic Berry Curvature in Magnetic Weyl Semimetal NdAlGe,2022,article,T11782,Magnetic Properties of Alloys,,3,,10,3
https://openalex.org/W3193677130,https://doi.org/10.3390/ma14164689,Characterization of a Disordered above Room Temperature Skyrmion Material Co<sub>8</sub>Zn<sub>8</sub>Mn<sub>4</sub>.,2021,article,T10049,Magnetic properties of thin films,"Topologically nontrivial spin textures host great promise for future spintronic applications. Skyrmions in particular are of burgeoning interest owing to their nanometric size, topological protection, and high mobility via ultra-low current densities. It has been previously reported through magnetic susceptibility, microscopy, and scattering techniques that Co8Zn8Mn4 forms an above room temperature triangular skyrmion lattice. Here, we report the synthesis procedure and characterization of a polycrystalline Co8Zn8Mn4 disordered bulk sample. We employ powder X-ray diffraction and backscatter Laue diffraction as characterization tools of the crystallinity of the samples, while magnetic susceptibility and Small Angle Neutron Scattering (SANS) measurements are performed to study the skyrmion phase. Magnetic susceptibility measurements show a dip anomaly in the magnetization curves, which persists over a range of approximately 305 K-315 K. SANS measurements reveal a rotationally disordered polydomain skyrmion lattice. Applying a symmetry-breaking magnetic field sequence, we were able to orient and order the previously jammed state to yield the prototypical hexagonal diffraction patterns with secondary diffraction rings. This emergence of the skyrmion order serves as a unique demonstration of the fundamental interplay of structural disorder and anisotropy in stabilizing the thermal equilibrium phase.",18,1.7955,14,3
https://openalex.org/W2395419150,https://doi.org/10.1038/ncomms13518,Direct comparison of current-induced spin polarization in topological insulator Bi2Se3 and InAs Rashba states,2016,article,T10657,Topological Materials and Phenomena,"Abstract Three-dimensional topological insulators (TIs) exhibit time-reversal symmetry protected, linearly dispersing Dirac surface states with spin–momentum locking. Band bending at the TI surface may also lead to coexisting trivial two-dimensional electron gas (2DEG) states with parabolic energy dispersion. A bias current is expected to generate spin polarization in both systems, although with different magnitude and sign. Here we compare spin potentiometric measurements of bias current-generated spin polarization in Bi 2 Se 3 (111) where Dirac surface states coexist with trivial 2DEG states, and in InAs(001) where only trivial 2DEG states are present. We observe spin polarization arising from spin–momentum locking in both cases, with opposite signs of the measured spin voltage. We present a model based on spin dependent electrochemical potentials to directly derive the sign expected for the Dirac surface states, and show that the dominant contribution to the current-generated spin polarization in the TI is from the Dirac surface states.",52,5.2095,5,1
https://openalex.org/W2027485304,https://doi.org/10.1063/1.4767657,Internal quantum efficiency in AlGaN with strong carrier localization,2012,article,T10099,GaN-based semiconductor devices and materials,"The emission efficiency droop and internal quantum efficiency (IQE) in AlGaN epilayers and heterostructures were investigated by studying photoluminescence intensity dependence on excitation power density at different temperatures in the range from 8 to 300 K in three AlGaN samples with similar Al content (33%-35%) and different strength of carrier localization: an epilayer and multiple quantum wells with well widths of 5.0 and 2.5 nm. It is shown that the phenomena leading to the efficiency droop strongly influence the photoluminescence intensity dependence on temperature and, therefore, affect the estimation of IQE based on this dependence. A procedure to optimize the determination of IQE is proposed.",57,3.0914,6,2
